                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1956,                 1.1138,                 1.3981,                0.69598,                0.58775,                0.63867,                0.37397,                 1.1931,                 1.0774,                 1.3935,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.1911,                 1.0944,                 1.3852,                0.71911,                0.64484,                0.69256,                0.41492,                 1.1451,                0.98106,                 1.3655,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.1908,                 1.1028,                 1.3906,                0.74671,                0.62084,                0.69157,                0.41577,                 1.1544,                 1.0162,                 1.3571,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.1727,                 1.0738,                 1.3739,                0.72557,                0.64127,                 0.6829,                0.41551,                 1.1451,                 1.0066,                 1.3603,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.1652,                 1.0762,                 1.3665,                0.74694,                0.64623,                0.71404,                0.42568,                 1.1428,                0.94841,                 1.3401,               0.009144,               0.009144,               0.009144
                     40,                 1.1567,                 1.0505,                 1.3668,                0.71628,                0.66589,                0.70306,                0.42908,                 1.1242,                0.99025,                 1.3449,              0.0090998,              0.0090998,              0.0090998
                     41,                  1.143,                  1.038,                 1.3551,                0.73985,                0.68398,                0.73074,                0.44258,                 1.0895,                0.89421,                 1.3089,              0.0090546,              0.0090546,              0.0090546
                     42,                  1.143,                 1.0265,                 1.3528,                 0.7708,                0.67439,                 0.7379,                0.44502,                 1.0802,                0.89903,                 1.3006,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.1231,                 1.0108,                 1.3358,                0.77308,                 0.6522,                0.73525,                0.45094,                 1.0916,                0.91855,                 1.3176,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.1351,                 1.0433,                 1.3494,                0.78298,                0.68069,                0.75336,                0.46904,                 1.0837,                0.89033,                 1.3063,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.1123,                 1.0074,                 1.3306,                0.75946,                0.67907,                0.75664,                  0.472,                 1.0739,                 0.8935,                 1.3026,               0.008864,               0.008864,               0.008864
                     46,                 1.1275,                 1.0186,                 1.3422,                0.77798,                 0.6807,                0.75271,                0.46062,                 1.0635,                0.90614,                 1.2995,               0.008814,               0.008814,               0.008814
                     47,                 1.1118,                 1.0088,                 1.3308,                0.80554,                  0.709,                0.78601,                0.49091,                 1.0388,                0.84499,                 1.2753,               0.008763,               0.008763,               0.008763
                     48,                 1.0905,                0.96888,                 1.3141,                0.80318,                0.71685,                 0.7967,                0.49533,                 1.0559,                0.83745,                 1.2811,              0.0087112,              0.0087112,              0.0087112
