                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.74996,                0.57735,                  1.088,                 0.9393,                0.89189,                0.94818,                0.71155,                0.69962,                0.47495,                 1.0238,              0.0016615,              0.0016615,              0.0016615
                    150,                0.75064,                0.57591,                 1.0861,                0.93535,                0.89585,                0.94792,                0.71107,                0.69907,                0.47418,                 1.0233,              0.0016052,              0.0016052,              0.0016052
                    151,                 0.7515,                0.57555,                 1.0848,                 0.9298,                0.89879,                0.94833,                0.71248,                 0.6994,                0.47443,                 1.0236,              0.0015498,              0.0015498,              0.0015498
                    152,                0.76039,                0.58052,                 1.0894,                0.92764,                0.90132,                0.94897,                0.71394,                0.69832,                0.47386,                 1.0228,              0.0014953,              0.0014953,              0.0014953
                    153,                0.75173,                0.57161,                 1.0814,                0.92978,                 0.9025,                0.95001,                0.71403,                0.69597,                0.47189,                 1.0212,              0.0014416,              0.0014416,              0.0014416
                    154,                0.74015,                0.56508,                 1.0815,                0.92928,                 0.9041,                0.94916,                0.71458,                0.69546,                0.47158,                 1.0206,              0.0013888,              0.0013888,              0.0013888
                    155,                0.73945,                0.56995,                 1.0777,                 0.9319,                0.89949,                0.94771,                0.71481,                0.69559,                0.47105,                 1.0206,               0.001337,               0.001337,               0.001337
                    156,                0.74364,                0.57862,                 1.0811,                0.93595,                0.89475,                0.94944,                0.71521,                0.69491,                 0.4708,                 1.0199,               0.001286,               0.001286,               0.001286
                    157,                0.72943,                0.55801,                 1.0771,                0.93956,                0.89356,                0.94906,                0.71492,                 0.6945,                0.47024,                 1.0193,               0.001236,               0.001236,               0.001236
                    158,                 0.7224,                0.55897,                 1.0701,                0.93778,                0.89582,                0.94915,                0.71572,                0.69356,                0.46932,                 1.0183,              0.0011869,              0.0011869,              0.0011869
                    159,                0.72972,                0.55964,                 1.0742,                0.93547,                0.90042,                0.94945,                0.71589,                0.69412,                0.46922,                 1.0182,              0.0011387,              0.0011387,              0.0011387
                    160,                0.72861,                0.55644,                 1.0715,                0.92978,                0.90297,                0.95063,                0.71548,                 0.6943,                0.46945,                 1.0179,              0.0010916,              0.0010916,              0.0010916
                    161,                0.72541,                0.55032,                 1.0718,                0.92658,                0.90302,                0.95037,                0.71511,                0.69264,                0.46946,                 1.0169,              0.0010454,              0.0010454,              0.0010454
                    162,                0.73274,                0.55484,                 1.0743,                0.93805,                0.89151,                0.95033,                0.71483,                0.69165,                0.46841,                 1.0165,              0.0010002,              0.0010002,              0.0010002
                    163,                0.72435,                0.55151,                 1.0738,                0.93736,                0.89195,                0.95083,                0.71603,                0.69047,                0.46748,                 1.0161,             0.00095595,             0.00095595,             0.00095595
                    164,                0.72932,                0.55332,                 1.0768,                0.93885,                0.89252,                0.95063,                0.71715,                0.68965,                0.46742,                 1.0157,             0.00091275,             0.00091275,             0.00091275
                    165,                0.72266,                0.54771,                 1.0714,                0.94294,                0.89044,                0.95084,                0.71717,                0.68903,                0.46706,                 1.0153,             0.00087058,             0.00087058,             0.00087058
                    166,                0.71619,                 0.5466,                 1.0699,                0.94313,                0.88856,                 0.9508,                0.71724,                 0.6887,                0.46712,                 1.0147,             0.00082943,             0.00082943,             0.00082943
                    167,                0.72064,                0.55249,                 1.0704,                0.93573,                0.90018,                0.95067,                0.71655,                0.68792,                0.46691,                 1.0141,             0.00078933,             0.00078933,             0.00078933
                    168,                0.70814,                0.53141,                 1.0632,                0.93631,                0.90123,                0.95079,                0.71635,                0.68701,                0.46667,                 1.0135,             0.00075027,             0.00075027,             0.00075027
                    169,                0.71668,                  0.549,                 1.0696,                0.94184,                0.89658,                0.95087,                0.71721,                0.68556,                0.46627,                 1.0126,             0.00071228,             0.00071228,             0.00071228
                    170,                0.71052,                0.54324,                 1.0636,                0.94039,                0.89557,                0.95076,                0.71732,                0.68543,                0.46619,                 1.0127,             0.00067536,             0.00067536,             0.00067536
                    171,                0.70876,                0.53199,                 1.0592,                0.93234,                0.90102,                0.95096,                0.71765,                0.68483,                0.46571,                 1.0124,             0.00063952,             0.00063952,             0.00063952
                    172,                0.71238,                0.54199,                 1.0612,                0.92943,                0.90265,                0.95107,                0.71853,                0.68392,                0.46581,                  1.012,             0.00060476,             0.00060476,             0.00060476
                    173,                0.70536,                0.53963,                 1.0624,                0.92942,                0.90415,                 0.9505,                0.71888,                0.68278,                0.46564,                 1.0113,             0.00057111,             0.00057111,             0.00057111
                    174,                 0.7165,                0.54675,                 1.0689,                0.92963,                0.90379,                0.95079,                0.72031,                0.68163,                0.46589,                 1.0104,             0.00053855,             0.00053855,             0.00053855
                    175,                0.70704,                0.53891,                  1.061,                0.92894,                0.90426,                0.95016,                 0.7207,                0.68082,                0.46616,                 1.0097,             0.00050711,             0.00050711,             0.00050711
                    176,                0.70625,                0.53636,                 1.0609,                0.92959,                0.90403,                0.95052,                0.72091,                0.68018,                0.46644,                 1.0092,              0.0004768,              0.0004768,              0.0004768
                    177,                0.70439,                0.54126,                 1.0639,                0.92803,                0.90453,                0.95055,                  0.721,                0.67975,                0.46659,                 1.0089,             0.00044761,             0.00044761,             0.00044761
                    178,                0.70006,                0.53125,                 1.0598,                0.92711,                0.90403,                0.94998,                0.72121,                0.67962,                0.46693,                 1.0087,             0.00041955,             0.00041955,             0.00041955
                    179,                0.69984,                 0.5399,                 1.0642,                0.92763,                0.90474,                0.95019,                0.72134,                0.67948,                0.46647,                 1.0085,             0.00039264,             0.00039264,             0.00039264
                    180,                0.70178,                0.52662,                 1.0598,                0.92675,                0.90494,                0.95025,                0.72153,                0.67916,                0.46614,                 1.0082,             0.00036688,             0.00036688,             0.00036688
                    181,                0.70852,                0.53799,                 1.0623,                0.92493,                 0.9049,                0.95022,                0.72175,                0.67876,                  0.466,                 1.0079,             0.00034227,             0.00034227,             0.00034227
                    182,                0.70016,                0.52892,                 1.0533,                0.92424,                0.90483,                0.95019,                0.72123,                0.67863,                0.46565,                 1.0077,             0.00031882,             0.00031882,             0.00031882
                    183,                0.70194,                0.53091,                 1.0584,                0.92322,                0.90486,                0.95006,                0.72123,                0.67853,                 0.4655,                 1.0077,             0.00029655,             0.00029655,             0.00029655
                    184,                0.70193,                0.53622,                 1.0603,                0.92381,                0.90495,                0.95009,                 0.7213,                 0.6782,                 0.4654,                 1.0075,             0.00027544,             0.00027544,             0.00027544
                    185,                 0.6983,                0.53272,                 1.0601,                0.92469,                0.90364,                0.94999,                0.72128,                0.67785,                0.46544,                 1.0071,             0.00025551,             0.00025551,             0.00025551
                    186,                0.67732,                0.48679,                 1.0281,                0.92484,                0.90249,                0.94977,                0.72191,                0.67685,                0.46461,                 1.0065,             0.00023677,             0.00023677,             0.00023677
                    187,                0.67585,                0.48395,                 1.0296,                0.92622,                 0.9016,                0.94989,                 0.7225,                0.67508,                  0.463,                 1.0054,             0.00021921,             0.00021921,             0.00021921
                    188,                0.67204,                0.47606,                 1.0245,                0.93155,                0.89822,                0.94988,                0.72274,                0.67339,                0.46136,                 1.0043,             0.00020285,             0.00020285,             0.00020285
                    189,                 0.6607,                0.46848,                 1.0183,                0.93323,                0.89806,                0.94996,                0.72335,                0.67175,                0.45985,                 1.0032,             0.00018768,             0.00018768,             0.00018768
                    190,                 0.6666,                0.47065,                 1.0227,                0.93356,                0.89772,                0.94991,                0.72324,                0.67044,                 0.4579,                 1.0024,             0.00017371,             0.00017371,             0.00017371
                    191,                0.66115,                0.47201,                 1.0235,                0.93319,                 0.8972,                0.95017,                0.72389,                0.66914,                0.45616,                 1.0016,             0.00016094,             0.00016094,             0.00016094
                    192,                0.65977,                0.46523,                 1.0183,                0.93378,                0.89788,                0.95037,                 0.7243,                0.66765,                0.45459,                 1.0005,             0.00014938,             0.00014938,             0.00014938
                    193,                0.65911,                0.46667,                 1.0199,                0.93303,                0.89842,                0.95052,                0.72469,                0.66655,                0.45302,                0.99962,             0.00013903,             0.00013903,             0.00013903
                    194,                0.65947,                0.46461,                 1.0191,                0.93351,                0.89828,                0.95064,                0.72477,                0.66551,                0.45174,                0.99889,             0.00012989,             0.00012989,             0.00012989
                    195,                0.65755,                0.46568,                 1.0196,                0.93447,                0.89978,                0.95101,                0.72509,                 0.6643,                0.45058,                0.99805,             0.00012197,             0.00012197,             0.00012197
                    196,                 0.6532,                0.46131,                 1.0162,                0.93367,                0.90034,                0.95114,                0.72571,                 0.6632,                0.44934,                0.99726,             0.00011526,             0.00011526,             0.00011526
                    197,                0.65748,                0.46088,                 1.0159,                0.93439,                 0.9002,                0.95173,                0.72597,                0.66196,                 0.4483,                0.99643,             0.00010977,             0.00010977,             0.00010977
                    198,                0.65631,                0.46377,                 1.0158,                0.93703,                0.89972,                0.95189,                0.72612,                0.66096,                0.44735,                0.99582,              0.0001055,              0.0001055,              0.0001055
                    199,                0.65309,                0.45917,                 1.0149,                0.93918,                0.89863,                0.95208,                0.72639,                0.66002,                0.44653,                0.99518,             0.00010244,             0.00010244,             0.00010244
                    200,                0.65032,                0.45993,                   1.01,                0.93957,                0.89897,                0.95231,                0.72699,                0.65901,                0.44566,                0.99455,             0.00010061,             0.00010061,             0.00010061
